Month,RowID,Response ID,"Overall, how satisfied are you with your experience living on campus at SDSU in the last 30 days?",Please explain why you are not satisfied with your experience living on campus at SDSU:,Front Desk,Wepa Printing Kiosk,Laundry Facilities,"Outdoor Recreation Facilities (pool, patio, fire pit, etc.)",The UPS Store,Streeme TV or Cable,WiFi,Residential Bike Storage and Bike Racks,Surfboard Storage,Community Study Areas,Community Kitchens,Vending Machines,Have you utilized a STAR Center in the last 30 days?,Please explain why you are not using the Star Center:,"Cleanliness of your residential community common areas (bathrooms, laundry rooms, hallways, lounges)","Maintenance of your residential community (furniture, utilities, appliances)","Amenities of your residential community (i.e., wifi, lounges, furniture, laundry, outdoor recreational spaces)","Please explain why you are unsatisfied with the Cleanliness, Maintenance, or Amenities of your residential community:",Within your residential community,Overall on campus,"Off campus, but within 1 mile of the university",Please tell us how the safety conditions on campus can be improved:,Have you submitted a service request in the last 30 days?,Please select the reason for why you have not submitted a service request in the last 30 days: - Selected Choice,"Other, please specify Text for why you have not submitted a service request in the last 30 days","To what degree do you agree or disagree with the following statement? I consider the responsibility of keeping the communal areas (bathrooms, laundry rooms, hallways, lounge) tidy as a shared responsibility amongst residents.",How many total people live in your suite or apartment unit?,"In the last 30 days, how would you describe your relationship with your roommate(s)? - Selected Choice","Other, please specify Text for how would you describe your relationship with your roommate(s) in last 30 days?",I initiate open communication and discussion,I seek advice from my parents or family,I use the Shared Living Agreement to guide discussion/conversation,I seek assistance from my student leader (RA or CA),I seek assistance from my residence hall coordinator (RHC),I have submitted a room switch request due to a roommate conflict,"I avoid conflict or confrontation, so I don't address the issue.",My roommate(s) and I do not have any conflicts,"You have indicated you have not reached out for support from your Residence Hall Coordinator (RHC) or student leader (RA or CA), please tell us why:","Feeling a sense of belonging within the university community (Sense of belonging is the feeling that we have satisfied our emotional need to belong to a community or group because we feel accepted, included, respected, and supported by a group)",Forming meaningful connections and friendships with other students within the university community,Feeling the university supports my personal and academic development,How can we improve your sense of belonging within the university community?,Attended a floor event or program,Participated in Hall/Community Council or an RHA event,Participated in an affinity group event,Why didn't you participate in activities or events in your residential community?,Attended a campus event,Participated in a campus club or organization,Participated in Greek life,Participated in undergraduate research,Participated in an internship on campus,Participated in an internship off campus,Worked a job on campus,Worked a job off campus,Participated in a religious or spiritual group,Participated in a volunteer or community service organization,Other for have you participated in the following extracurricular activities or events In the last 30 days?,"Other, please specify te for have you participated in the following extracurricular activities or events In the last 30 days?",Fellow students in my residential community,Student leaders (RA or CA),Residence Hall Coordinator (RHC),Coordinated Care Advisor (CCA),One-on-one meetings with professors or instructors,Major or program advisor,Classmates or fellow students in my program or courses,"Campus staff (administrative, support, or service staff)","Eat at an on campus eatery (Food trucks, restaurants, food court)",Prepared a meal on my own,Eat with friends,Eat alone,how confident are you that you can make healthy food choices?,"how confident are you in preparing a nutritious, healthy meal for yourself?","Have you reached out to Well-being & Health Promotion for nutritional resources? If not, why not?",How would you rate your mental health during the last 30 days?,"Have you reached out to SDSU Counseling and Psychological Services for mental health resources? If not, why not?",How would you rate your physical health during the last 30 days?,"Have you reached out to Student Health Services for physical health resources? If not, why not?","In the last 30 days, have you been physically ill (e.g., flu, cold, etc.)?",Did you receive a medical diagnosis for your illness?,Hall,State,Country,Residency,RLC_Updated,RLC_GroupCoded,Coded_RoomType,Coded_ClassLevel,Classification,Gender,Type of Building,AttendStatus
October,364,R_24HoeQXUFalqvoc,Neutral,Did not answer,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,Did not know it exists,Neutral,Satisfied,Satisfied,Did not answer,Safe,Neutral,Unsafe,Crackdown on achohol,Yes,Did not answer,Did not answer,Agree,"More than 5, including myself","Neutral, I don't interact with my roommates, but we can coexist in the same space.",Did not answer,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Did not answer,Agree,Agree,Agree,Did not answer,No,Yes,No,Did not answer,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,Did not answer,Did not answer,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,More than 10 Times,1-5 Times,More than 10 Times,More than 10 Times,5,5,Did not answer,Good,Did not answer,Excellent,Did not answer,"Yes, I got ill while living on campus in the last 30 days.",No,Tepeyac,CA,United States of America,California Resident,No Theme or Residential Learning/Living Community,No Learning Community,Triple,Sophomore,Returning,M,Sophomore and Upper Div,ATTENDING
October,514,R_2cvd9I1koilLlk4,Satisfied,Did not answer,Yes,No,No,No,No,Yes,Yes,No,No,Yes,No,No,Yes,Did not answer,Satisfied,Satisfied,Neutral,Did not answer,Neutral,Neutral,Neutral,Did not answer,No,I did not have any maintenance needs.,Did not answer,Agree,"4, including myself","Satisfied, most of us get along well and we usually work together to resolve conflicts.",Did not answer,Agree,Agree,Neutral,Neutral,Neutral,Disagree,Disagree,Agree,Did not answer,Agree,Neutral,Agree,Did not answer,Yes,No,No,Did not answer,No,Yes,No,No,No,Yes,No,No,Yes,Yes,Did not answer,Did not answer,Yes,Yes,No,Yes,No,No,Yes,No,0 Times,6-10 Times,More than 10 Times,1-5 Times,4,4,Did not answer,Good,Did not answer,Good,Did not answer,"Yes, I got ill while living on campus in the last 30 days.",No,Aztec Corner,CA,United States of America,California Resident,No Theme or Residential Learning/Living Community,No Learning Community,Double,Sophomore,Returning,F,Sophomore and Upper Div,ATTENDING
October,205,R_3PjySnKP1FbJtL2,Neutral,Did not answer,No,Not Applicable,Yes,Yes,Yes,Not Applicable,Yes,No,No,Yes,No,Not Applicable,Yes,Did not answer,Neutral,Unsatisfied,Neutral,Many things in my apartment are broken and we keep submitting service requests that get ignored.,Safe,Safe,Safe,Did not answer,No,"Other, please specify:",My roommates submitted it for me.,Agree,"More than 5, including myself","Unsatisfied, most of us don't get along well, and we usually are not able to resolve conflicts.",Did not answer,Neutral,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Did not answer,Agree,Agree,Disagree,Encouraging others to be open to meeting more people.,Yes,Yes,No,I did not participate in an affinity group because I did not feel like I belonged at it.,Yes,Yes,Yes,No,No,No,No,No,No,No,Not Applicable,Did not answer,Yes,Yes,Yes,No,Yes,No,Yes,Yes,1-5 Times,More than 10 Times,6-10 Times,More than 10 Times,2,2,"No, I did not know that was a thing.",Good,Did not answer,Neutral,Did not answer,"No, I haven't gotten ill in the last 30 days.",Did not answer,Granada,CA,United States of America,California Resident,No Theme or Residential Learning/Living Community,No Learning Community,Double,Sophomore,Returning,F,Sophomore and Upper Div,ATTENDING
October,696,R_31Y2OrNOANuaL5E,Satisfied,Did not answer,No,Not Applicable,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,I am not using the STARVcenter because i‚m usually busy and understand material.,Satisfied,Neutral,Satisfied,Did not answer,Safe,Safe,Neutral,Did not answer,Yes,Did not answer,Did not answer,Neither agree nor disagree,"4, including myself","Satisfied, most of us get along well and we usually work together to resolve conflicts.",Did not answer,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Did not answer,Agree,Agree,Agree,Did not answer,No,No,No,"Not this year, but I did last year. Been super busy this semester.",Yes,No,Yes,No,No,No,Yes,No,No,No,No,na,Yes,Yes,No,No,Yes,Yes,Yes,Yes,1-5 Times,6-10 Times,1-5 Times,More than 10 Times,5,5,Did not answer,Good,Did not answer,Good,Did not answer,"No, I haven't gotten ill in the last 30 days.",Did not answer,Toltec,CA,United States of America,California Resident,No Theme or Residential Learning/Living Community,No Learning Community,Double,Sophomore,Returning,F,Sophomore and Upper Div,ATTENDING
October,307,R_3flVubmuDOVj4qK,Satisfied,Did not answer,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Yes,Not Applicable,Not Applicable,No,Not Applicable,No,No,Not needed,Satisfied,Satisfied,Satisfied,Did not answer,Safe,Safe,Neutral,Did not answer,Yes,Did not answer,Did not answer,Agree,"4, including myself","Satisfied, most of us get along well and we usually work together to resolve conflicts.",Did not answer,Neutral,Agree,Disagree,Disagree,Disagree,Neutral,Agree,Agree,Not needed,Disagree,Agree,Neutral,Unsure,No,No,No,Not interested,No,Yes,No,No,No,No,No,No,No,No,Did not answer,Did not answer,No,Not Applicable,No,No,No,No,No,No,1-5 Times,More than 10 Times,0 Times,More than 10 Times,3,3,Did not answer,Neutral,Did not answer,Neutral,Did not answer,"Yes, I got ill while living on campus in the last 30 days.",Yes,M@College,CA,United States of America,California Resident,No Theme or Residential Learning/Living Community,No Learning Community,Single,Sophomore,Returning,F,Sophomore and Upper Div,ATTENDING
October,171,R_1zvB0SLN8CbZ4AN,Satisfied,Did not answer,Not Applicable,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,I do not know where it is located nor do i truly have the time to go and study outside of my apartment,Satisfied,Satisfied,Unsatisfied,The laundry machine are very few to begin with for so many residents and many of the machine do not work and have not been fixed despite being repeatedly reported.,Safe,Safe,Neutral,Did not answer,Yes,Did not answer,Did not answer,Agree,"2, including myself","Satisfied, most of us get along well and we usually work together to resolve conflicts.",Did not answer,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Did not answer,Agree,Agree,Neutral,Did not answer,No,No,No,Did not have the interest or it didn't fit into my schedule,Yes,No,No,Yes,No,No,No,No,No,No,No,Did not answer,Yes,No,No,No,Yes,No,Yes,No,0 Times,More than 10 Times,6-10 Times,More than 10 Times,3,3,Did not answer,Good,Did not answer,Good,Did not answer,"No, I haven't gotten ill in the last 30 days.",Did not answer,Piedra del Sol,CA,United States of America,California Resident,No Theme or Residential Learning/Living Community,No Learning Community,Single,Sophomore,Returning,F,Sophomore and Upper Div,ATTENDING
October,230,R_0ky7ZhtbV25MB2x,Satisfied,Did not answer,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,I have not needed a place to study or needed help on any homework,Satisfied,Satisfied,Satisfied,Did not answer,Safe,Safe,Safe,Did not answer,No,I did not have any maintenance needs.,Did not answer,Agree,"2, including myself","Satisfied, most of us get along well and we usually work together to resolve conflicts.",Did not answer,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,I have not had a need to reach out,Agree,Agree,Agree,Did not answer,Yes,No,No,None of them interested me,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Did not answer,Did not answer,Yes,Yes,No,No,No,Yes,Yes,No,1-5 Times,More than 10 Times,More than 10 Times,1-5 Times,5,5,Did not answer,Excellent,Did not answer,Good,Did not answer,"No, I haven't gotten ill in the last 30 days.",Did not answer,South Campus Plaza North,CA,United States of America,California Resident,No Theme or Residential Learning/Living Community,No Learning Community,Double,Junior,Returning,F,Sophomore and Upper Div,ATTENDING
October,22,R_3kn6EHwtgTnhv8m,Satisfied,Did not answer,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,I have not found any need for it,Satisfied,Satisfied,Satisfied,Did not answer,Safe,Safe,Neutral,Did not answer,Yes,Did not answer,Did not answer,Agree,"2, including myself","Satisfied, most of us get along well and we usually work together to resolve conflicts.",Did not answer,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Did not answer,Agree,Agree,Agree,Did not answer,No,No,No,I have not been interested in participating,No,No,No,No,No,No,No,No,No,No,Did not answer,Did not answer,Yes,Yes,Yes,Yes,No,No,Yes,Yes,More than 10 Times,6-10 Times,More than 10 Times,6-10 Times,3,3,Did not answer,Excellent,Did not answer,Excellent,Did not answer,"No, I haven't gotten ill in the last 30 days.",Did not answer,South Campus Plaza South,CA,United States of America,California Resident,No Theme or Residential Learning/Living Community,No Learning Community,Double,Sophomore,Returning,F,First Year,ATTENDING
October,328,R_3ERnKJOQ5nsVJs4,Satisfied,Did not answer,Yes,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,I didn't really need help from the Star Center so I have not used it.,Satisfied,Satisfied,Satisfied,Did not answer,Safe,Neutral,Neutral,Did not answer,Yes,Did not answer,Did not answer,Agree,"4, including myself","Satisfied, most of us get along well and we usually work together to resolve conflicts.",Did not answer,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Did not answer,Agree,Agree,Neutral,Did not answer,Yes,Yes,No,Sometimes I'd be too busy to attend or I'd forget.,Yes,Yes,No,No,No,No,Yes,No,No,No,Did not answer,Did not answer,Yes,Yes,No,No,No,No,Yes,No,1-5 Times,More than 10 Times,6-10 Times,1-5 Times,3,3,Did not answer,Good,Did not answer,Good,Did not answer,"No, I haven't gotten ill in the last 30 days.",Did not answer,Villa Alvarado,CA,United States of America,California Resident,No Theme or Residential Learning/Living Community,No Learning Community,Double,Sophomore,Returning,F,Sophomore and Upper Div,ATTENDING
October,54,R_Q5gFPOmEFMskq2Z,Neutral,Did not answer,No,Not Applicable,Yes,No,Yes,No,Yes,No,No,No,No,No,No,I don't find myself needing that support,Satisfied,Neutral,Unsatisfied,Half of our stove does not work and one fourth of our dryers are not working,Safe,Neutral,Unsafe,Did not answer,No,I did not have any maintenance needs.,Did not answer,Agree,"4, including myself","Satisfied, most of us get along well and we usually work together to resolve conflicts.",Did not answer,Agree,Agree,Neutral,Disagree,Disagree,Disagree,Neutral,Neutral,Did not answer,Neutral,Agree,Neutral,Did not answer,No,No,No,Did not answer,No,No,No,No,No,No,No,No,No,No,Did not answer,Did not answer,Yes,Yes,No,No,No,No,Yes,No,1-5 Times,More than 10 Times,6-10 Times,6-10 Times,4,4,Did not answer,Good,Did not answer,Good,Did not answer,"No, I haven't gotten ill in the last 30 days.",Did not answer,Tarastec,CA,United States of America,California Resident,No Theme or Residential Learning/Living Community,No Learning Community,Double,Junior,Returning,F,Sophomore and Upper Div,ATTENDING
October,747,R_3gXfiQqJeLan0Wr,Neutral,Did not answer,No,Not Applicable,Yes,No,Yes,Yes,Yes,No,No,No,Not Applicable,Not Applicable,No,I just don't feel like I need it,Satisfied,Neutral,Satisfied,Did not answer,Safe,Safe,Neutral,Did not answer,No,I did not have any maintenance needs.,Did not answer,Agree,"More than 5, including myself","Satisfied, most of us get along well and we usually work together to resolve conflicts.",Did not answer,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Neutral,Agree,Me and my roommates get along really well and I love living with them. There's no issues for the CA to resolve.,Agree,Agree,Neutral,Did not answer,Yes,No,Not Applicable,Did not answer,Yes,No,Yes,No,No,No,No,Yes,Yes,No,Did not answer,Did not answer,Yes,Yes,No,No,Yes,Yes,Yes,Yes,More than 10 Times,More than 10 Times,More than 10 Times,6-10 Times,4,4,Did not answer,Neutral,Did not answer,Excellent,Did not answer,"Yes, I got ill while living on campus in the last 30 days.",No,Granada,CA,United States of America,California Resident,No Theme or Residential Learning/Living Community,No Learning Community,Single,Junior,Returning,F,Sophomore and Upper Div,ATTENDING
October,687,R_1EX1sAjjzS9Y7iA,Satisfied,Did not answer,Not Applicable,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,i don't feel the need,Satisfied,Satisfied,Neutral,Did not answer,Safe,Safe,Neutral,Did not answer,Yes,Did not answer,Did not answer,Agree,"More than 5, including myself","Satisfied, most of us get along well and we usually work together to resolve conflicts.",Did not answer,Neutral,Disagree,Neutral,Disagree,Disagree,Disagree,Disagree,Neutral,there have been no conflicts,Neutral,Neutral,Neutral,Did not answer,Not Applicable,No,No,sophomore housing doesn‚t really have them,No,Yes,No,No,No,No,No,Yes,No,Yes,Did not answer,Did not answer,Yes,No,No,No,Yes,No,Yes,Yes,More than 10 Times,1-5 Times,1-5 Times,More than 10 Times,4,3,Did not answer,Poor,no. i‚ve been too busy with work and school,Excellent,Did not answer,"No, I haven't gotten ill in the last 30 days.",Did not answer,Zacatepec,CA,United States of America,California Resident,No Theme or Residential Learning/Living Community,No Learning Community,Triple,Sophomore,Returning,F,Sophomore and Upper Div,ATTENDING
October,505,R_3luKEj0zZTarTRQ,Satisfied,Did not answer,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,"I personally did not feel the need to go to the Star Center for studying/tutoring, since I have other preferred spots.",Neutral,Satisfied,Satisfied,Did not answer,Safe,Neutral,Neutral,Did not answer,Yes,Did not answer,Did not answer,Agree,"4, including myself","Satisfied, most of us get along well and we usually work together to resolve conflicts.",Did not answer,Agree,Neutral,Agree,Neutral,Neutral,Disagree,Disagree,Neutral,Did not answer,Neutral,Agree,Neutral,Did not answer,No,No,No,I did not have the time due to classes/studying.,No,Yes,No,No,No,No,No,No,Yes,No,Not Applicable,Did not answer,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,0 Times,More than 10 Times,More than 10 Times,6-10 Times,4,4,Did not answer,Poor,"I have reached out just recently, and am waiting for a response.",Good,Did not answer,"No, I haven't gotten ill in the last 30 days.",Did not answer,Zapotec,CA,United States of America,California Resident,No Theme or Residential Learning/Living Community,No Learning Community,Double,Sophomore,Returning,F,Sophomore and Upper Div,NOT ENROLLED
October,80,R_bpfDfHZV8bIO1BT,Satisfied,Did not answer,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,haven't needed it yet,Satisfied,Satisfied,Satisfied,Did not answer,Safe,Safe,Safe,Did not answer,Unsure,Did not answer,Did not answer,Agree,"More than 5, including myself","Satisfied, most of us get along well and we usually work together to resolve conflicts.",Did not answer,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Did not answer,Agree,Agree,Agree,Did not answer,Yes,Yes,Yes,Did not answer,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Did not answer,Did not answer,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,More than 10 Times,More than 10 Times,More than 10 Times,More than 10 Times,4,4,Did not answer,Poor,Did not answer,Neutral,Did not answer,"Yes, I got ill while living on campus in the last 30 days.",No,Tepeyac,CA,United States of America,California Resident,No Theme or Residential Learning/Living Community,No Learning Community,Single,Sophomore,Returning,F,Sophomore and Upper Div,ATTENDING
October,266,R_1H1WRPwWk3MotGT,Neutral,Did not answer,Not Applicable,Not Applicable,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,No,I don't feel the need to,Satisfied,Satisfied,Satisfied,Did not answer,Neutral,Unsafe,Neutral,I'm not sure but I'm looking to take self defense classes,No,I did not have any maintenance needs.,Did not answer,Agree,"2, including myself","Satisfied, most of us get along well and we usually work together to resolve conflicts.",Did not answer,Agree,Agree,Agree,Neutral,Neutral,Disagree,Disagree,Agree,Did not answer,Agree,Agree,Agree,Did not answer,No,No,No,I had a lot of homework,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Did not answer,Did not answer,Yes,No,No,Yes,Yes,Yes,Yes,No,1-5 Times,1-5 Times,6-10 Times,1-5 Times,2,3,No but after looking at there website I think I might :),Neutral,Did not answer,Good,Did not answer,"No, I haven't gotten ill in the last 30 days.",Did not answer,Piedra del Sol,CA,United States of America,California Resident,No Theme or Residential Learning/Living Community,No Learning Community,Single,Sophomore,Returning,F,Sophomore and Upper Div,ATTENDING
October,215,R_XTZlKIzn7UkqFG1,Satisfied,Did not answer,Yes,Yes,Yes,No,Yes,No,Yes,Not Applicable,Not Applicable,Yes,Yes,No,Yes,Did not answer,Satisfied,Satisfied,Satisfied,Did not answer,Safe,Safe,Safe,Did not answer,Yes,Did not answer,Did not answer,Agree,"2, including myself","Satisfied, most of us get along well and we usually work together to resolve conflicts.",Did not answer,Agree,Neutral,Agree,Agree,Neutral,Disagree,Disagree,Agree,Did not answer,Agree,Agree,Agree,Did not answer,Yes,Yes,Yes,Did not answer,Yes,Yes,No,No,No,No,Yes,No,No,No,Did not answer,Did not answer,Yes,Yes,No,Yes,Yes,No,Yes,Yes,6-10 Times,More than 10 Times,1-5 Times,More than 10 Times,4,4,Did not answer,Good,Did not answer,Good,Did not answer,"No, I haven't gotten ill in the last 30 days.",Did not answer,South Campus Plaza North,CA,United States of America,California Resident,No Theme or Residential Learning/Living Community,No Learning Community,Double,Junior,Returning,F,Sophomore and Upper Div,ATTENDING
October,523,R_3fvZf1mO5WCLyKr,Unsatisfied,"Everything is so shitty, the faucets, the lighting, the furniture, the general upkeep, the amenities, just everything is a ripoff and awful, everything from bad maintenance team to comically tiny sinks.",Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Not Applicable,No,I don't need help right now,Unsatisfied,Unsatisfied,Unsatisfied,"Generally dirty, shits always broken and was broken before we got here, and there aren‚t amenities.",Neutral,Unsafe,Unsafe,GET ALL OF THE HOMELESS PEOPLE OFF NOW,Yes,Did not answer,Did not answer,Agree,"More than 5, including myself","Unsatisfied, most of us don't get along well, and we usually are not able to resolve conflicts.",Did not answer,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,"No time on their hands, little care to resolve issues or make time. CA is good though, Cuicacalli RHC needs to be fired",Disagree,Neutral,Neutral,Stop demonizing straight white men,Yes,Not Applicable,No,Because they don't happen,Yes,Yes,No,No,No,No,Yes,No,No,No,No,Did not answer,Yes,Yes,Yes,Yes,No,No,Yes,Yes,0 Times,More than 10 Times,More than 10 Times,1-5 Times,5,5,Did not answer,Good,Did not answer,Good,Did not answer,"Yes, I got ill while living on campus in the last 30 days.",No,Tacuba,CA,United States of America,California Resident,No Theme or Residential Learning/Living Community,No Learning Community,Single,Sophomore,Returning,M,Sophomore and Upper Div,ATTENDING
October,220,R_2eW3dnYgo9IS551,Satisfied,Did not answer,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,"I honestly do not know what star center is closest to me, I live at the tecs.",Satisfied,Satisfied,Satisfied,Did not answer,Safe,Unsafe,Unsafe,I‚m not quite sure maybe more lights? I also have just felt unsafe because I have been walking alone and I am a woman.,Yes,Did not answer,Did not answer,Agree,"More than 5, including myself","Satisfied, most of us get along well and we usually work together to resolve conflicts.",Did not answer,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Neutral,"I have not felt that I have needed it, I have messaged my ca but not my rhc .",Agree,Agree,Agree,Did not answer,No,No,No,I have been very busy and usually find out about them too late to go. I would like to attend though.,Yes,Yes,No,No,No,No,No,No,No,No,Did not answer,Did not answer,Yes,Yes,No,No,Yes,Yes,Yes,No,More than 10 Times,More than 10 Times,6-10 Times,1-5 Times,5,5,Did not answer,Neutral,Did not answer,Good,Did not answer,"Yes, I got ill while living on campus in the last 30 days.",No,Mixquic,CA,United States of America,California Resident,No Theme or Residential Learning/Living Community,No Learning Community,Double,Freshman,Returning,F,Sophomore and Upper Div,ATTENDING
October,203,R_2QiK3FrPtcCavUh,Satisfied,Did not answer,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No aware of what it is,Satisfied,Satisfied,Satisfied,Did not answer,Neutral,Safe,Safe,Did not answer,No,I did not have any maintenance needs.,Did not answer,Neither agree nor disagree,"1, only me",Did not answer,Did not answer,Did not answer,Did not answer,Did not answer,Did not answer,Did not answer,Did not answer,Did not answer,Did not answer,Did not answer,Agree,Neutral,Neutral,Did not answer,No,No,No,Involved in other activities,Yes,No,No,No,No,No,No,No,No,No,Did not answer,Did not answer,Yes,No,No,Yes,No,No,No,No,1-5 Times,1-5 Times,0 Times,6-10 Times,4,4,Did not answer,Good,Did not answer,Good,Did not answer,"No, I haven't gotten ill in the last 30 days.",Did not answer,South Campus Plaza North,CA,United States of America,California Resident,No Theme or Residential Learning/Living Community,No Learning Community,Double,Sophomore,Returning,M,Sophomore and Upper Div,NOT ENROLLED
October,359,R_1QcoYtMVnGij9ea,Satisfied,Did not answer,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Did not answer,Satisfied,Satisfied,Satisfied,Did not answer,Safe,Safe,Neutral,Did not answer,No,I did not have any maintenance needs.,Did not answer,Agree,"4, including myself","Satisfied, most of us get along well and we usually work together to resolve conflicts.",Did not answer,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Did not answer,Agree,Agree,Neutral,Did not answer,No,Yes,No,I did,Yes,Yes,No,No,No,No,Yes,No,Yes,No,Did not answer,Did not answer,Yes,Yes,No,No,No,No,Yes,No,1-5 Times,More than 10 Times,More than 10 Times,More than 10 Times,5,5,Did not answer,Excellent,Did not answer,Excellent,Did not answer,"Yes, I got ill while living on campus in the last 30 days.",No,Zacatepec,CA,United States of America,California Resident,No Theme or Residential Learning/Living Community,No Learning Community,Double,Sophomore,Returning,M,Sophomore and Upper Div,NOT ENROLLED
October,627,R_2OMRw8z26GJbSdT,Unsatisfied,Psycho crazy roommate,Not Applicable,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,don't know where it is,Satisfied,Neutral,Unsatisfied,Only 6 washers and 6 dryers for all of PDS and half of them are broken,Safe,Safe,Safe,Did not answer,Yes,Did not answer,Did not answer,Agree,"4, including myself","Unsatisfied, most of us don't get along well, and we usually are not able to resolve conflicts.",Did not answer,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Did not answer,Neutral,Agree,Neutral,Did not answer,Yes,Yes,No,I did,Yes,Yes,No,Yes,No,No,No,No,No,No,Did not answer,Did not answer,Yes,Yes,Yes,No,No,No,Yes,No,More than 10 Times,6-10 Times,6-10 Times,1-5 Times,4,4,Did not answer,Neutral,Did not answer,Poor,Low grade cold not much you can do about it,"Yes, I got ill while living on campus in the last 30 days.",No,Piedra del Sol,WA,United States of America,Out of State,No Theme or Residential Learning/Living Community,No Learning Community,Single,Sophomore,Returning,F,Sophomore and Upper Div,NOT ENROLLED
October,132,R_3QKKwzZSYQt17BI,Unsatisfied,We have rats In our apartment and housing isn‚t taking care of it as I would have hoped,Yes,Not Applicable,Yes,Not Applicable,Yes,No,Yes,No,No,No,No,Yes,No,I typically use other resources,Neutral,Unsatisfied,Satisfied,Things break very easily,Safe,Safe,Safe,Did not answer,Yes,Did not answer,Did not answer,Agree,"4, including myself","Satisfied, most of us get along well and we usually work together to resolve conflicts.",Did not answer,Agree,Agree,Agree,Disagree,Disagree,Disagree,Neutral,Agree,don't really need them for most things,Agree,Agree,Agree,Did not answer,Not Applicable,No,No,Not interested,Yes,Yes,No,No,No,No,No,No,No,No,Did not answer,Did not answer,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,6-10 Times,1-5 Times,1-5 Times,More than 10 Times,3,3,Did not answer,Good,Did not answer,Good,Did not answer,"Yes, I got ill while living on campus in the last 30 days.",No,Villa Alvarado,CA,United States of America,California Resident,No Theme or Residential Learning/Living Community,No Learning Community,Double,Junior,Returning,M,Sophomore and Upper Div,ATTENDING
October,322,R_24oYmO18BsWFsWa,Neutral,Did not answer,Yes,No,Yes,Not Applicable,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,No,i don't know where there is one for aztec corner,Neutral,Unsatisfied,Neutral,my toilet gets clogged at least once a week,Neutral,Neutral,Neutral,Did not answer,Yes,Did not answer,Did not answer,Agree,"4, including myself","Satisfied, most of us get along well and we usually work together to resolve conflicts.",Did not answer,Agree,Agree,Neutral,Neutral,Neutral,Disagree,Disagree,Agree,Did not answer,Agree,Agree,Agree,Did not answer,No,No,No,i didn't know when they were,No,No,Yes,No,No,No,No,No,No,No,Did not answer,Did not answer,Yes,Yes,No,No,No,No,Yes,No,1-5 Times,1-5 Times,1-5 Times,1-5 Times,3,3,Did not answer,Good,Did not answer,Good,Did not answer,"Yes, I got ill while living on campus in the last 30 days.",No,Aztec Corner,CA,United States of America,California Resident,No Theme or Residential Learning/Living Community,No Learning Community,Double,Sophomore,Returning,F,Sophomore and Upper Div,ATTENDING
